GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABZ001,ABZ002,ABZ003,ABZ004,ABZ005,ABZ006
"G1302370","1830","Georgia","130","Putnam","2370","Putnam",1,0,1,8,1,0
"G1302410","1830","Georgia","130","Rabun","2410","Rabun",0,0,0,0,0,0
"G1302430","1830","Georgia","130","Randolph","2430","Randolph",0,0,0,0,0,0
"G1302450","1830","Georgia","130","Richmond","2450","Richmond",3,0,3,0,0,0
"G1302510","1830","Georgia","130","Screven","2510","Screven",0,0,0,0,0,0
"G1302630","1830","Georgia","130","Talbot","2630","Talbot",1,0,0,0,0,0
"G1302650","1830","Georgia","130","Taliaferro","2650","Taliaferro",1,0,1,0,0,1
"G1302670","1830","Georgia","130","Tattnall","2670","Tattnall",0,1,1,0,0,0
"G1302710","1830","Georgia","130","Telfair","2710","Telfair",1,0,0,0,0,0
"G1302750","1830","Georgia","130","Thomas","2750","Thomas",0,1,0,1,0,0
"G1302850","1830","Georgia","130","Troup","2850","Troup",0,0,0,0,0,0
"G1302890","1830","Georgia","130","Twiggs","2890","Twiggs",1,1,1,0,0,1
"G1302930","1830","Georgia","130","Upson","2930","Upson",1,0,0,0,0,0
"G1302970","1830","Georgia","130","Walton","2970","Walton",1,0,1,0,0,1
"G1302990","1830","Georgia","130","Ware","2990","Ware",0,0,0,0,0,0
"G1303010","1830","Georgia","130","Warren","3010","Warren",1,0,1,0,1,0
"G1303030","1830","Georgia","130","Washington","3030","Washington",0,1,1,0,0,0
"G1303050","1830","Georgia","130","Wayne","3050","Wayne",0,0,0,0,0,0
"G1303170","1830","Georgia","130","Wilkes","3170","Wilkes",0,0,0,0,0,0
"G1303190","1830","Georgia","130","Wilkinson","3190","Wilkinson",0,0,0,0,0,0
"G1700010","1830","Illinois","170","Adams","0010","Adams",0,0,0,0,0,0
"G1700030","1830","Illinois","170","Alexander","0030","Alexander",0,1,0,0,0,0
"G1700050","1830","Illinois","170","Bond","0050","Bond",0,0,0,0,0,0
"G1700130","1830","Illinois","170","Calhoun","0130","Calhoun",0,0,0,0,0,0
"G1700230","1830","Illinois","170","Clark","0230","Clark",1,1,0,0,0,0
"G1700250","1830","Illinois","170","Clay","0250","Clay",0,0,1,0,0,0
"G1700270","1830","Illinois","170","Clinton","0270","Clinton",1,1,0,0,0,0
"G1700330","1830","Illinois","170","Crawford","0330","Crawford",0,0,0,0,0,0
"G1700450","1830","Illinois","170","Edgar","0450","Edgar",0,0,0,0,0,0
"G1700470","1830","Illinois","170","Edwards","0470","Edwards",0,0,1,0,0,0
"G1700510","1830","Illinois","170","Fayette","0510","Fayette",1,3,0,0,0,0
"G1700550","1830","Illinois","170","Franklin","0550","Franklin",4,3,0,0,0,0
"G1700570","1830","Illinois","170","Fulton","0570","Fulton",0,0,0,0,0,0
"G1700590","1830","Illinois","170","Gallatin","0590","Gallatin",2,2,0,0,0,0
"G1700610","1830","Illinois","170","Greene","0610","Greene",1,0,1,0,0,0
"G1700650","1830","Illinois","170","Hamilton","0650","Hamilton",0,0,0,0,0,0
"G1700670","1830","Illinois","170","Hancock","0670","Hancock",0,0,0,0,0,0
"G1700730","1830","Illinois","170","Henry","0730","Henry",0,0,0,0,0,0
"G1700770","1830","Illinois","170","Jackson","0770","Jackson",0,0,0,0,0,0
"G1700810","1830","Illinois","170","Jefferson","0810","Jefferson",0,0,0,0,0,0
"G1700850","1830","Illinois","170","Jo Daviess","0850","Jo Daviess",0,2,1,0,0,0
"G1700870","1830","Illinois","170","Johnson","0870","Johnson",0,0,0,0,0,0
"G1700950","1830","Illinois","170","Knox","0950","Knox",0,1,0,0,0,0
"G1701010","1830","Illinois","170","Lawrence","1010","Lawrence",0,0,0,0,0,0
"G1701150","1830","Illinois","170","Macon","1150","Macon",0,0,1,0,0,0
"G1701170","1830","Illinois","170","Macoupin","1170","Macoupin",0,0,0,0,0,0
"G1701190","1830","Illinois","170","Madison","1190","Madison",4,3,2,0,0,0
"G1701210","1830","Illinois","170","Marion","1210","Marion",0,0,0,0,0,0
"G1701310","1830","Illinois","170","Mercer","1310","Mercer",0,0,0,0,0,0
"G1701330","1830","Illinois","170","Monroe","1330","Monroe",0,0,0,0,0,0
"G1701350","1830","Illinois","170","Montgomery","1350","Montgomery",0,0,0,0,0,0
"G1701370","1830","Illinois","170","Morgan","1370","Morgan",2,0,1,0,0,0
"G1701450","1830","Illinois","170","Perry","1450","Perry",0,0,0,0,0,0
"G1701490","1830","Illinois","170","Pike","1490","Pike",0,0,0,0,0,0
"G1701510","1830","Illinois","170","Pope","1510","Pope",0,1,0,0,0,0
"G1701550","1830","Illinois","170","Putnam","1550","Putnam",0,0,0,0,0,0
"G1701570","1830","Illinois","170","Randolph","1570","Randolph",0,0,1,0,0,0
"G1701630","1830","Illinois","170","St Clair","1630","St Clair",0,0,0,0,0,0
"G1701670","1830","Illinois","170","Sangamon","1670","Sangamon",1,3,1,0,0,0
"G1701690","1830","Illinois","170","Schuyler","1690","Schuyler",0,0,0,0,0,0
"G1701730","1830","Illinois","170","Shelby","1730","Shelby",0,0,2,0,0,0
"G1701790","1830","Illinois","170","Tazewell","1790","Tazewell",1,0,0,0,0,0
"G1701810","1830","Illinois","170","Union","1810","Union",1,0,0,0,0,0
"G1701830","1830","Illinois","170","Vermilion","1830","Vermilion",1,0,0,0,0,0
"G1701850","1830","Illinois","170","Wabash","1850","Wabash",1,2,0,0,0,0
"G1701870","1830","Illinois","170","Warren","1870","Warren",0,0,0,0,0,0
"G1701890","1830","Illinois","170","Washington","1890","Washington",2,1,0,0,0,0
"G1701910","1830","Illinois","170","Wayne","1910","Wayne",0,0,0,0,0,0
"G1701930","1830","Illinois","170","White","1930","White",0,3,4,0,0,0
"G1800030","1830","Indiana","180","Allen","0030","Allen",0,0,0,0,0,0
"G1800050","1830","Indiana","180","Bartholomew","0050","Bartholomew",3,6,3,0,0,0
"G1800110","1830","Indiana","180","Boone","0110","Boone",0,0,0,0,0,0
"G1800150","1830","Indiana","180","Carroll","0150","Carroll",0,1,0,0,1,0
"G1800170","1830","Indiana","180","Cass","0170","Cass",0,0,0,0,0,0
"G1800190","1830","Indiana","180","Clark","0190","Clark",1,3,0,0,0,0
"G1800210","1830","Indiana","180","Clay","0210","Clay",0,0,0,0,0,0
"G1800230","1830","Indiana","180","Clinton","0230","Clinton",0,0,0,0,0,0
"G1800250","1830","Indiana","180","Crawford","0250","Crawford",0,2,1,0,0,0
"G1800270","1830","Indiana","180","Daviess","0270","Daviess",3,1,2,0,0,0
"G1800290","1830","Indiana","180","Dearborn","0290","Dearborn",0,0,0,0,0,0
"G1800310","1830","Indiana","180","Decatur","0310","Decatur",0,3,0,0,0,0
"G1800350","1830","Indiana","180","Delaware","0350","Delaware",0,0,0,0,0,0
"G1800370","1830","Indiana","180","Dubois","0370","Dubois",0,0,2,0,0,0
"G1800390","1830","Indiana","180","Elkhart","0390","Elkhart",0,0,1,0,0,0
"G1800410","1830","Indiana","180","Fayette","0410","Fayette",0,1,0,0,0,0
"G1800430","1830","Indiana","180","Floyd","0430","Floyd",2,1,0,0,0,0
"G1800450","1830","Indiana","180","Fountain","0450","Fountain",4,1,0,0,0,0
"G1800470","1830","Indiana","180","Franklin","0470","Franklin",2,1,0,0,0,0
"G1800510","1830","Indiana","180","Gibson","0510","Gibson",2,2,3,0,0,0
"G1800550","1830","Indiana","180","Greene","0550","Greene",0,6,1,0,0,0
"G1800570","1830","Indiana","180","Hamilton","0570","Hamilton",1,1,0,0,0,0
"G1800590","1830","Indiana","180","Hancock","0590","Hancock",0,0,0,0,0,0
"G1800610","1830","Indiana","180","Harrison","0610","Harrison",0,0,0,0,0,0
"G1800630","1830","Indiana","180","Hendricks","0630","Hendricks",0,0,0,0,0,0
