GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G0101010,1870,Alabama,10,Montgomery,1010,Montgomery,34460,34460,,,,,,2775,,,,,,,,,,,,,,,,,,,1208,,,,,1409,202,,,1565,,,,,,,,,,,,,,,14,,,27,,,9,,,,51,67,327,6,,,291,5,,,,,37,,19,11,
G0101030,1870,Alabama,10,Morgan,1030,Morgan,9349,9349,,,,,,693,,,,,,,,,,,,,,,,,,,242,,,,,299,743,,,337,,,,,,,,,,,,,,,1,,,0,,,3,,,,9,3,46,0,,,25,0,,,,,0,,0,6,
G0101050,1870,Alabama,10,Perry,1050,Perry,20153,20153,,,,,,467,,,,,,,,,,,,,,,,,,,1202,,,,,688,179,,,1866,,,,,,,,,,,,,,,4,,,0,,,1,,,,11,6,31,0,,,32,0,,,,,2,,8,0,
G0101070,1870,Alabama,10,Pickens,1070,Pickens,13633,13633,,,,,,465,,,,,,,,,,,,,,,,,,,533,,,,,1691,183,,,418,,,,,,,,,,,,,,,6,,,0,,,1,,,,1,0,4,0,,,18,0,,,,,5,,0,0,
G0101090,1870,Alabama,10,Pike,1090,Pike,13410,13410,,,,,,2403,,,,,,,,,,,,,,,,,,,487,,,,,830,24,,,100,,,,,,,,,,,,,,,4,,,0,,,0,,,,1,2,9,0,,,6,0,,,,,6,,0,0,
G0101110,1870,Alabama,10,Randolph,1110,Randolph,6759,6759,,,,,,4191,,,,,,,,,,,,,,,,,,,245,,,,,583,71,,,90,,,,,,,,,,,,,,,0,,,0,,,2,,,,0,0,5,0,,,4,0,,,,,0,,0,0,
G0101130,1870,Alabama,10,Russell,1130,Russell,13443,13443,,,,,,6002,,,,,,,,,,,,,,,,,,,512,,,,,721,34,,,599,,,,,,,,,,,,,,,9,,,0,,,0,,,,6,1,26,0,,,15,0,,,,,0,,0,4,
G0101150,1870,Alabama,10,St Clair,1150,St Clair,6762,6762,,,,,,1186,,,,,,,,,,,,,,,,,,,225,,,,,733,195,,,151,,,,,,,,,,,,,,,0,,,0,,,0,,,,0,0,0,0,,,6,0,,,,,1,,0,0,
G0101155,1870,Alabama,10,Sanford,1155,Sanford,6432,6432,,,,,,441,,,,,,,,,,,,,,,,,,,261,,,,,758,266,,,112,,,,,,,,,,,,,,,0,,,3,,,0,,,,2,0,1,0,,,4,0,,,,,0,,0,0,
G0101170,1870,Alabama,10,Shelby,1170,Shelby,9300,9300,,,,,,843,,,,,,,,,,,,,,,,,,,235,,,,,896,252,,,213,,,,,,,,,,,,,,,1,,,3,,,2,,,,41,3,15,0,,,50,0,,,,,6,,0,1,
G0101190,1870,Alabama,10,Sumter,1190,Sumter,19287,19287,,,,,,323,,,,,,,,,,,,,,,,,,,1530,,,,,638,184,,,1258,,,,,,,,,,,,,,,6,,,2,,,2,,,,5,0,35,0,,,39,0,,,,,5,,2,0,
G0101210,1870,Alabama,10,Talladega,1210,Talladega,13298,13298,,,,,,1874,,,,,,,,,,,,,,,,,,,340,,,,,1015,427,,,709,,,,,,,,,,,,,,,4,,,0,,,1,,,,9,0,35,0,,,27,1,,,,,18,,0,1,
G0101230,1870,Alabama,10,Tallapoosa,1230,Tallapoosa,12005,12005,,,,,,3919,,,,,,,,,,,,,,,,,,,199,,,,,566,23,,,162,,,,,,,,,,,,,,,4,,,1,,,0,,,,5,0,2,0,,,4,0,,,,,0,,0,0,
G0101250,1870,Alabama,10,Tuscaloosa,1250,Tuscaloosa,15831,15831,,,,,,719,,,,,,,,,,,,,,,,,,,477,,,,,942,361,,,845,,,,,,,,,,,,,,,3,,,1,,,8,,,,67,5,44,14,,,150,1,,,,,12,,0,2,
G0101270,1870,Alabama,10,Walker,1270,Walker,5719,5719,,,,,,382,,,,,,,,,,,,,,,,,,,72,,,,,251,57,,,13,,,,,,,,,,,,,,,0,,,0,,,1,,,,5,0,0,0,,,0,0,,,,,1,,0,0,
G0101290,1870,Alabama,10,Washington,1290,Washington,3098,3098,,,,,,155,,,,,,,,,,,,,,,,,,,43,,,,,76,12,,,70,,,,,,,,,,,,,,,2,,,0,,,1,,,,1,0,2,0,,,3,0,,,,,0,,2,0,
G0101310,1870,Alabama,10,Wilcox,1310,Wilcox,24402,24402,,,,,,419,,,,,,,,,,,,,,,,,,,903,,,,,1109,98,,,921,,,,,,,,,,,,,,,11,,,1,,,3,,,,8,4,21,0,,,30,0,,,,,3,,0,0,
G0101330,1870,Alabama,10,Winston,1330,Winston,2741,2741,,,,,,907,,,,,,,,,,,,,,,,,,,129,,,,,139,149,,,25,,,,,,,,,,,,,,,0,,,0,,,0,,,,1,0,2,0,,,0,0,,,,,0,,0,0,
G0450155,1870,Arizona Territory,45,Mohave,155,Mohave,1,,,6,,,,,,,,,,,,,,,,,5,,,,,22,,14,,14,,,,,,,,,1,,,,,,,,,,,,,,,1,,,4,0,,1,4,3,9,0,,,28,,,,,,0,,1,0,
G0450177,1870,Arizona Territory,45,Pah-Ute,177,Pah-Ute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G0450195,1870,Arizona Territory,45,Pima,195,Pima,916,,,42,,,,,,,,,,,,,,,,,37,,,,,208,,87,,134,,,,,,,,,916,,,,,,,,,,,,,,,15,,,55,0,,7,61,35,155,0,,,259,,,,,,19,,4,9,
G0450255,1870,Arizona Territory,45,Yavapai,255,Yavapai,91,,,35,,,,,,,,,,,,,,,,,65,,,,,186,,111,,100,,,,,,,,,91,,,,,,,,,,,,,,,6,,,69,13,,8,48,23,169,0,,,157,,,,,,29,,8,12,
G0450275,1870,Arizona Territory,45,Yuma,275,Yuma,232,,,73,,,,,,,,,,,,,,,,,14,,,,,65,,23,,27,,,,,,,,,232,,,,,,,,,,,,,,,2,,,14,8,,3,24,8,46,0,,,51,,,,,,6,,1,2,
G0500010,1870,Arkansas,50,Arkansas,10,Arkansas,3590,600,3590,,,,,509,,,,,,,,,,,,581,,,,,,,214,,,,,,1293,,,,,,,,,,,,,,,,,,,,,,,,8,74,,0,8,2,11,0,0,,19,,,,,,2,,1,3,
G0500030,1870,Arkansas,50,Ashley,30,Ashley,3528,1287,3528,,,,,600,,,,,,,,,,,,949,,,,,,,276,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,9,0,,0,5,5,17,0,0,,13,,,,,,0,,0,1,
G0500070,1870,Arkansas,50,Benton,70,Benton,5490,179,5490,,,,,455,,,,,,,,,,,,51,,,,,,,612,,,,,,2526,,,,,,,,,,,,,,,,,,,,,,,,6,0,,0,8,0,19,1,0,,8,,,,,,1,,2,1,
